"2017906","463040","Design [Assistant Graphic Designer]","Fabio Arruda","Ana Carolina","Ana Carolina"
"1488799","463040","Directed By [Artistical Director]","Jorge Davidson","Ana Carolina","Ana Carolina"
"475085","463040","Drums","Jongui","Ana Carolina","Ana Carolina"
"708633","463040","Drums","Sergio Melo","Ana Carolina","Ana Carolina"
"0","463040","Executive Producer","Luciana David","Ana Carolina","Ana Carolina"
"708634","463040","Guitar","Billy Brandão","Ana Carolina","Ana Carolina"
"1854794","463040","Guitar","Nelson Faria","Ana Carolina","Ana Carolina"
"466567","463040","Keyboards","Sacha Amback","Ana Carolina","Ana Carolina"
"713888","463040","Keyboards","William Magalhães","Ana Carolina","Ana Carolina"
"473274","463040","Mastered By","Ricardo Garcia","Ana Carolina","Ana Carolina"
"526316","463040","Mixed By","Fábio Henriques","Ana Carolina","Ana Carolina"
"317401","463040","Mixed By","Vitor Farias","Ana Carolina","Ana Carolina"
"708637","463040","Mixed By [Pro Tools]","Nilo Romero","Ana Carolina","Ana Carolina"
"317401","463040","Mixed By [Pro Tools]","Vitor Farias","Ana Carolina","Ana Carolina"
"0","463040","Other [Styling]","Fabíola Kassin","Ana Carolina","Ana Carolina"
"89144","463040","Percussion","Marcos Suzano","Ana Carolina","Ana Carolina"
"2306653","463040","Photography By","Greg Vanderlans","Ana Carolina","Ana Carolina"
"708637","463040","Producer","Nilo Romero","Ana Carolina","Ana Carolina"
"713882","463040","Producer [Assistant]","Claudio Menezes","Ana Carolina","Ana Carolina"
"475085","463040","Programmed By [Drums]","Jongui","Ana Carolina","Ana Carolina"
"466567","463040","Programmed By [Keyboards]","Sacha Amback","Ana Carolina","Ana Carolina"
"526316","463040","Recorded By","Fábio Henriques","Ana Carolina","Ana Carolina"
"713884","463040","Recorded By","Marcio Gama","Ana Carolina","Ana Carolina"
"713875","463040","Recorded By","Marcos Adriano","Ana Carolina","Ana Carolina"
"317401","463040","Recorded By","Vitor Farias","Ana Carolina","Ana Carolina"
"475608","463040","Recorded By","Walter Costa","Ana Carolina","Ana Carolina"
"713870","463040","Recorded By [Assistant]","Breno Gael","Ana Carolina","Ana Carolina"
"713873","463040","Recorded By [Assistant]","Breno Maia","Ana Carolina","Ana Carolina"
"713869","463040","Recorded By [Assistant]","Gutemberg","Ana Carolina","Ana Carolina"
"1166886","463040","Recorded By [Assistant]","Jessé (2)","Ana Carolina","Ana Carolina"
"713883","463040","Recorded By [Assistant]","Renato Pagliatti","Ana Carolina","Ana Carolina"
"815820","463040","Recorded By [Assistant]","Theo Mares","Ana Carolina","Ana Carolina"
"17750","463040","Technician [Assessorship]","Paulo Lima","Ana Carolina","Ana Carolina"
"708637","463040","Technician [Loop]","Nilo Romero","Ana Carolina","Ana Carolina"
"392239","463040","Tenor Saxophone","Marcelo Martins","Ana Carolina","Ana Carolina"
"708637","463040","Tracking By [Play Back]","Nilo Romero","Ana Carolina","Ana Carolina"
"475608","463040","Tracking By [Play Back]","Walter Costa","Ana Carolina","Ana Carolina"
"713880","463040","Viola","Marie-Christine Springel Bessler","Ana Carolina","Ana Carolina"
"713885","463040","Violin","Mauro Martins","Ana Carolina","Ana Carolina"
"662668","463040","Violin [Spalla]","Bernardo Bessler","Ana Carolina","Ana Carolina"
"312060","463040","Written-By","Chico Buarque","Ana Carolina","Ana Carolina"
"708646","463040","Written-By","Totonho Villeroy","Ana Carolina","Ana Carolina"
"2766202","577110","Executive-Producer","Ju Velloso Mesquita","Adriana Calcanhotto","Adriana Partimpim"
"1723281","577110","Executive-Producer","Suely Aguiar","Adriana Calcanhotto","Adriana Partimpim"
"443439","577110","Mastered By","Carlos Freitas","Adriana Calcanhotto","Adriana Partimpim"
"466572","577110","Mixed By, Recorded By","Fabiano França","Adriana Calcanhotto","Adriana Partimpim"
"466570","577110","Producer","Dé Palmeira","Adriana Calcanhotto","Adriana Partimpim"
"466567","577110","Producer","Sacha Amback","Adriana Calcanhotto","Adriana Partimpim"
"466566","577110","Producer [Director]","Leonardo Netto","Adriana Calcanhotto","Adriana Partimpim"
"280625","577110","Recorded By","Antoine Midani","Adriana Calcanhotto","Adriana Partimpim"
"490046","392926","Written-By","Tata Fernandes","Chico César","Millenium: Chico César"
"365408","392926","Written-By","Zeca Baleiro","Chico César","Millenium: Chico César"
"392241","23475","Backing Vocals","Beth Bruno","Djavan","Ao Vivo - Volumes 1 E 2"
"392238","23475","Backing Vocals","Cecília Spyer","Djavan","Ao Vivo - Volumes 1 E 2"
"392243","23475","Backing Vocals","Flávia Virgínia","Djavan","Ao Vivo - Volumes 1 E 2"
"392246","23475","Bass, Vocals","André Vasconcelos","Djavan","Ao Vivo - Volumes 1 E 2"
"392247","23475","Drums","Carlos Bala","Djavan","Ao Vivo - Volumes 1 E 2"
"0","23475","Executive Producer","Mara Rabello","Djavan","Ao Vivo - Volumes 1 E 2"
"392245","23475","Guitar, Producer [Assistant], Vocals","Max Viana","Djavan","Ao Vivo - Volumes 1 E 2"
"392240","23475","Guitar, Vocals","João Castilho","Djavan","Ao Vivo - Volumes 1 E 2"
"392242","23475","Keyboards","Paulo Calasans","Djavan","Ao Vivo - Volumes 1 E 2"
"473274","23475","Mastered By","Ricardo Garcia","Djavan","Ao Vivo - Volumes 1 E 2"
"392239","23475","Saxophone, Flute, Vocals","Marcelo Martins","Djavan","Ao Vivo - Volumes 1 E 2"
"392237","23475","Trombone, Vocals","François De Lima","Djavan","Ao Vivo - Volumes 1 E 2"
"707158","23475","Trumpet, Flugelhorn, Vocals","Walmir De Almeida Gil","Djavan","Ao Vivo - Volumes 1 E 2"
"88228","14068","Arranged By","Flora Purim","Airto Moreira","I'm Fine, How Are You?"
"329161","14068","Arranged By","Hugo Fattoruso","Airto Moreira","I'm Fine, How Are You?"
"88228","14068","Backing Vocals","Flora Purim","Airto Moreira","I'm Fine, How Are You?"
"329161","14068","Backing Vocals","Hugo Fattoruso","Airto Moreira","I'm Fine, How Are You?"
"280077","14068","Bass","Abraham Laboriel","Airto Moreira","I'm Fine, How Are You?"
"304759","14068","Bass","Byron Miller","Airto Moreira","I'm Fine, How Are You?"
"10616","14068","Bass","Jaco Pastorius","Airto Moreira","I'm Fine, How Are You?"
"329159","14068","Co-producer","Kerry McNabb","Airto Moreira","I'm Fine, How Are You?"
"329159","14068","Engineer","Kerry McNabb","Airto Moreira","I'm Fine, How Are You?"
"69621","14068","Flute","Tom Scott","Airto Moreira","I'm Fine, How Are You?"
"329160","14068","Guitar","Charles Johnson (2)","Airto Moreira","I'm Fine, How Are You?"
"296479","14068","Guitar","Oscar Castro-Neves","Airto Moreira","I'm Fine, How Are You?"
"329161","14068","Keyboards","Hugo Fattoruso","Airto Moreira","I'm Fine, How Are You?"
"376076","14068","Percussion","Laudir de Oliveira","Airto Moreira","I'm Fine, How Are You?"
"279707","14068","Percussion","Manolo Badrena","Airto Moreira","I'm Fine, How Are You?"
"88228","14068","Producer","Flora Purim","Airto Moreira","I'm Fine, How Are You?"
"69621","14068","Saxophone [Sax]","Tom Scott","Airto Moreira","I'm Fine, How Are You?"
"97921","14068","Trombone","Raul de Souza","Airto Moreira","I'm Fine, How Are You?"
"88228","14068","Vocals","Flora Purim","Airto Moreira","I'm Fine, How Are You?"
"329162","14068","Vocals","Ruben Rada","Airto Moreira","I'm Fine, How Are You?"
"318943","393406","Arranged By","Moraes Moreira","Os Novos Baianos","Acabou Chorare"
"722294","393406","Bass","Didi Gomes","Os Novos Baianos","Acabou Chorare"
"1077514","393406","Bongos","Luís Bolacha","Os Novos Baianos","Acabou Chorare"
"318943","393406","Classical Guitar","Moraes Moreira","Os Novos Baianos","Acabou Chorare"
"185696","393406","Classical Guitar [Solo]","Pepeu Gomes","Os Novos Baianos","Acabou Chorare"
"722288","393406","Drums, Bongos, Cavaquinho","Jorginho Gomes","Os Novos Baianos","Acabou Chorare"
"755730","393406","Drums, Bongos, Percussion [Bumbo]","José Roberto","Os Novos Baianos","Acabou Chorare"
"185696","393406","Guitar, Arranged By","Pepeu Gomes","Os Novos Baianos","Acabou Chorare"
"285716","393406","Maracas, Triangle","Baby Consuelo","Os Novos Baianos","Acabou Chorare"
"338349","393406","Pandeiro","Paulinho Boca De Cantor","Os Novos Baianos","Acabou Chorare"
"406613","393406","Producer","Eustáquio Sena","Os Novos Baianos","Acabou Chorare"
"285716","393406","Vocals","Baby Consuelo","Os Novos Baianos","Acabou Chorare"
"318943","393406","Vocals","Moraes Moreira","Os Novos Baianos","Acabou Chorare"
"338349","393406","Vocals","Paulinho Boca De Cantor","Os Novos Baianos","Acabou Chorare"
"27140","156051","Acoustic Guitar","Célia Vaz","Quarteto Em Cy","Tempo E Artista"
"708195","156051","Arranged By [Instrumental Arrangement]","Bia Paes Leme","Quarteto Em Cy","Tempo E Artista"
"27140","156051","Arranged By [Instrumental Arrangement]","Célia Vaz","Quarteto Em Cy","Tempo E Artista"
"708195","156051","Arranged By [Vocal Arrangement]","Bia Paes Leme","Quarteto Em Cy","Tempo E Artista"
"708196","156051","Arranged By [Vocal Arrangement]","Cynara","Quarteto Em Cy","Tempo E Artista"
"27140","156051","Arranged By [Vocal Arrangement]","Célia Vaz","Quarteto Em Cy","Tempo E Artista"
"0","156051","Artwork By","Brígida Baltar","Quarteto Em Cy","Tempo E Artista"
"27140","156051","Directed By","Célia Vaz","Quarteto Em Cy","Tempo E Artista"
"486359","156051","Engineer","Mário Possolo","Quarteto Em Cy","Tempo E Artista"
"730544","156051","Mastered By","Robertinho De Recife","Quarteto Em Cy","Tempo E Artista"
"486359","156051","Mixed By","Mário Possolo","Quarteto Em Cy","Tempo E Artista"
"0","156051","Other [Costumes]","Rui Cortes","Quarteto Em Cy","Tempo E Artista"
"0","156051","Other [Main Coordinator]","Betina Zuckermann","Quarteto Em Cy","Tempo E Artista"
"0","156051","Other [Make-up]","Rosi Verçosa","Quarteto Em Cy","Tempo E Artista"
"0","156051","Other [Production Coordinator]","Esdras Pereira","Quarteto Em Cy","Tempo E Artista"
"0","156051","Photography","Murilo Meirelles","Quarteto Em Cy","Tempo E Artista"
"312060","156051","Written-By","Chico Buarque","Quarteto Em Cy","Tempo E Artista"
